id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO1394732051,"Venta Apartamento De 86mts2 En Caney, Sur De Cali 9743.e",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1394732051-venta-apartamento-de-86mts2-en-caney-sur-de-cali-9743e-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,310000000,1,,False,2024-08-19T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNBTjYyNTc5MA', 'name': 'Caney'}, 'city': {'id': 'TUNPQ0NBTDYyZDA0', 'name': 'Cali'}, 'state': {'id': 'TUNPUFZBTGExNmNjNg', 'name': 'Valle Del Cauca'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 3.383238, 'longitude': -76.5184741}","{'contact': 'Geraldine Sifontes Valero', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1281088699,OSPINAPEREZYASOCIADOS1
MCO1394605271,"Casa En Venta, Sabaneta, El Trapiche, Ac-47975",used,gold_premium,https://casa.mercadolibre.com.co/MCO-1394605271-casa-en-venta-sabaneta-el-trapiche-ac-47975-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,2850000000,1,,False,2024-08-19T04:00:00.000Z,"{'address_line': 'Sabaneta, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYRWwgVHJhcGljaGVUVU5QUTFOQlFqbGlaa', 'name': 'El Trapiche'}, 'city': {'id': 'TUNPQ1NBQjliZjBm', 'name': 'Sabaneta'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1504856, 'longitude': -75.6168786}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,203343351,ACRECERINMOBILIARIA
MCO1395395893,Venta De Hermosa Casa Completamente Remodelada Avenida Sur Pereira,new,gold_premium,https://casa.mercadolibre.com.co/MCO-1395395893-venta-de-hermosa-casa-completamente-remodelada-avenida-sur-pereira-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,650000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': 'Avenida Las Americas', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1BFUmMwMjJk', 'name': 'Pereira'}, 'state': {'id': 'TUNPUFJJU2ExMWIyYg', 'name': 'Risaralda'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.7983941, 'longitude': -75.7548041}","{'contact': 'PROPERTY NEGOCIOS INMOBILIARIOS', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,599532492,PROPERTYNEGOCIOSINMOBILIARIOS
MCO2219550552,"Venta Apartamento Calasanz Parte Baja, Medellín, Ant",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2219550552-venta-apartamento-calasanz-parte-baja-medellin-ant-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,355000000,1,,False,2024-08-19T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkNBTDUxODMwOA', 'name': 'Calasanz'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2609158, 'longitude': -75.5989846}","{'contact': 'Grupo Inmobiliario SALEM', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,294937529,SALEM INMOBILIARIA
MCO1394605623,"Casas En Arriendo Americas Occidental I, Ii Y Iii Eta 820-78",used,gold_premium,https://casa.mercadolibre.com.co/MCO-1394605623-casas-en-arriendo-americas-occidental-i-ii-y-iii-eta-820-78-_JM,classified,MCO,MCO1467,MCO-HOUSES_FOR_RENT,2900000,1,,False,2024-05-21T04:00:00.000Z,"{'address_line': 'AMERICAS OCCIDENTAL I, II Y III ETA', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkFNRTYwOTI0', 'name': 'Américas Occidental I, II y III Etapa'}, 'city': {'id': 'TUNPQ0tFTjQyODYy', 'name': 'Kennedy'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6239057, 'longitude': -74.1376968}","{'contact': 'carlos elias MANRIQUE campo', 'other_info': 'cra. 13 no. 38-65 of. 605', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,275269447,AREASYESPACIOSINMOBILIARIOS
MCO1395410465,Venta De Apartamento Sabaneta Loma De San Jose,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1395410465-venta-de-apartamento-sabaneta-loma-de-san-jose-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,479000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYTG9tYSBEZSBTYW4gSm9zZVRVTlBRMU5CU', 'name': 'Loma De San Jose'}, 'city': {'id': 'TUNPQ1NBQjliZjBm', 'name': 'Sabaneta'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1408962, 'longitude': -75.6194903}","{'contact': 'DORA LUCIA GONZALEZ', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,673103192,DORALUCIAGONZALEZSEPULVEDA
MCO2219722722,Vendo Apartamento En Amazonia Bello,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2219722722-vendo-apartamento-en-amazonia-bello-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,565000000,1,,False,2024-08-19T04:00:00.000Z,"{'address_line': 'Bello Amazonia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0JFTDg0Y2E', 'name': 'Bello'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.3414165, 'longitude': -75.5638211}","{'contact': 'MYE Propiedad Raiz', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1205739771,PROPIEDADMYE
MCO2223206686,"Apartamento En Venta Sector Belen San Bernardo, Medellin ",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2223206686-apartamento-en-venta-sector-belen-san-bernardo-medellin-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,500000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': 'Calle 22 #74-43, Medellín, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJFTDM4MzEzNA', 'name': 'Belén San Bernardo'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2255071, 'longitude': -75.5957371}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1414124991,INMOBIENESINVERSIONES202307041
MCO2224410752,Apartamento Para Estrenar ,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2224410752-apartamento-para-estrenar-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,140000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': 'Cra. 91a #39I-82, Provincia de Cartagena, Bolívar, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkxBQzkzMTAzNQ', 'name': 'La Concepción'}, 'city': {'id': 'TUNPQ0NBUjcwNTYz', 'name': 'Cartagena De Indias'}, 'state': {'id': 'TUNPUEJPTHI1Mzlk', 'name': 'Bolívar'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 10.4113682, 'longitude': -75.4543573}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1678661263,AYBNEGOCIOSINMOBILIARIOS
MCO1395383015,Venta De Hermosa Casa Via Principal Barrio Corales Pereira,new,gold_premium,https://casa.mercadolibre.com.co/MCO-1395383015-venta-de-hermosa-casa-via-principal-barrio-corales-pereira-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,415000000,1,,False,2024-08-21T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ29yYWxlc1RVTlBRMUJGVW1Nd01qSms', 'name': 'Corales'}, 'city': {'id': 'TUNPQ1BFUmMwMjJk', 'name': 'Pereira'}, 'state': {'id': 'TUNPUFJJU2ExMWIyYg', 'name': 'Risaralda'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.8012293, 'longitude': -75.747422}","{'contact': 'PROPERTY NEGOCIOS INMOBILIARIOS', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,599532492,PROPERTYNEGOCIOSINMOBILIARIOS
