id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,location,seller_contact,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname
MCO2080574728,"Apartamento Para La Venta En Urbanización Cerrada, Con Portería 24 Horas, Tiene 3 Alcobas, 2 Baños, Balcón, Parqueadero, Con Full Acabados, La Urbanización Tiene Piscina, Turco, Gimnasio, Portería 24",used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2080574728-apartamento-para-la-venta-en-urbanizacion-cerrada-con-porteria-24-horas-tiene-3-alcobas-2-banos-balcon-parqueadero-con-full-acabados-la-urbanizacion-tiene-piscina-turco-gimnasio-porteria-24-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,260000000,1,,False,2024-06-03T11:07:32.265Z,"{'address_line': 'Cl. 9 Sur #79c-221, La Hondonada, Medellín, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkVMUjgwNTQyNw', 'name': 'El Rodeo'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2029916, 'longitude': -75.602662}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,800155927,ALEXA2024
MCO2099407810,Increible Casa Campestre En La Vereda Vanguardia,used,gold_premium,https://casa.mercadolibre.com.co/MCO-2099407810-increible-casa-campestre-en-la-vereda-vanguardia-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,920000000,1,,False,2024-06-13T04:00:00.000Z,"{'address_line': 'Villavicencio, Meta, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ1ZJTDNiNzQ2', 'name': 'Villavicencio'}, 'state': {'id': 'TUNPUE1FVGExNzFjNQ', 'name': 'Meta'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.1491688, 'longitude': -73.6285475}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1299510498,NUEVASRAÍCES INMOBILIARIA
MCO2047002704,Local En Venta Medellín Sector Centro,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2047002704-local-en-venta-medellin-sector-centro-_JM,classified,MCO,MCO50561,MCO-RETAIL_SPACE_FOR_SALE,255000000,1,,False,2024-12-10T15:19:59.870Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'Q2VudHJvVFVOUFEwMUZSR1JqTmpjNA', 'name': 'Centro'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2509116, 'longitude': -75.5659051}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO2003752736,Casa En Venta En Paraiso Barranquilla,used,gold_premium,https://casa.mercadolibre.com.co/MCO-2003752736-casa-en-venta-en-paraiso-barranquilla-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,750000000,1,,False,2024-05-28T16:16:51.496Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlBBUjg0NDgzMA', 'name': 'Paraíso'}, 'city': {'id': 'TUNPQ0JBUjkzOTg0', 'name': 'Barranquilla'}, 'state': {'id': 'TUNPUEFUTG9mNDk5', 'name': 'Atlántico'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 11.0172295, 'longitude': -74.810105}","{'contact': 'ABRAHAM GARCIA CHAVEZ', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,450852410,INMOBILIARIANICASIA
MCO1363973263,Casa En Venta Medellín Sector San Lucas,used,gold_premium,https://casa.mercadolibre.com.co/MCO-1363973263-casa-en-venta-medellin-sector-san-lucas-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,900000000,1,,False,2024-06-08T15:33:07.005Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQlNBTjkyNTE3OA', 'name': 'San Lucas'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1825472, 'longitude': -75.5640446}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO2142673032,Hermosa Finca En Girardota,used,gold_premium,https://inmueble.mercadolibre.com.co/MCO-2142673032-hermosa-finca-en-girardota-_JM,classified,MCO,MCO6403,MCO-FARM_HOUSES_FOR_SALE,700000000,1,,False,2025-01-09T04:00:00.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0dJUmExMTU3', 'name': 'Girardota'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.3774241, 'longitude': -75.4455662}","{'contact': 'Homy Group', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,483979097,ALIADOSINMOBILIARIOS
MCO1389330443,"Se Vende Casa En Bosa, Grande, Luminosa, Buena Ventilación Y Excelente Rentabilidad.",used,gold_premium,https://casa.mercadolibre.com.co/MCO-1389330443-se-vende-casa-en-bosa-grande-luminosa-buena-ventilacion-y-excelente-rentabilidad-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,700000000,1,,False,2024-03-08T04:00:00.000Z,"{'address_line': 'Cra. 86d #49-47, Bogotá, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TUNPQkJFVDk3MzAx', 'name': 'Betania'}, 'city': {'id': 'TUNPQ0JPUzQwMzcw', 'name': 'Bosa'}, 'state': {'id': 'TUNPUEJPR1gxMDljZA', 'name': 'Bogotá D.C.'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 4.6270555, 'longitude': -74.1779519}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,not_specified,not_specified,[],,,142505338,DEVALEJOSA
MCO1388409871,Apartamento En Venta Poblado Sector Ciudad Del Rio,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-1388409871-apartamento-en-venta-poblado-sector-ciudad-del-rio-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,480000000,1,,False,2024-08-04T13:56:47.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYQ2l1ZGFkIERlbCBSaW9UVU5QUTAxRlJHU', 'name': 'Ciudad Del Rio'}, 'city': {'id': 'TUNPQ01FRGRjNjc4', 'name': 'Medellín'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.2218144, 'longitude': -75.5742422}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO1388384323,Casa Duplex  Venta En Sabaneta Sector La Doctora,used,gold_premium,https://casa.mercadolibre.com.co/MCO-1388384323-casa-duplex-venta-en-sabaneta-sector-la-doctora-_JM,classified,MCO,MCO1468,MCO-INDIVIDUAL_HOUSES_FOR_SALE,750000000,1,,False,2024-08-04T13:55:13.000Z,"{'address_line': '', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {'id': 'TVhYTGEgRG9jdG9yYVRVTlBRMU5CUWpsaVpqQ', 'name': 'La Doctora'}, 'city': {'id': 'TUNPQ1NBQjliZjBm', 'name': 'Sabaneta'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1417532, 'longitude': -75.6088286}","{'contact': 'Grupo Respaldo Inmobiliario', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1194088518,GRUPORESPALDOINMOBILIARIOSA
MCO2192985844,Apartamento Zona Suramerica $319.000.000 Apartamento En Itagui  010224-06,used,gold_premium,https://apartamento.mercadolibre.com.co/MCO-2192985844-apartamento-zona-suramerica-319000000-apartamento-en-itagui-010224-06-_JM,classified,MCO,MCO1474,MCO-INDIVIDUAL_APARTMENTS_FOR_SALE,319000000,1,,False,2024-07-30T04:00:00.000Z,"{'address_line': 'Calle 75A Sur, La Estrella, Antioquia, Colombia', 'zip_code': '', 'subneighborhood': None, 'neighborhood': {}, 'city': {'id': 'TUNPQ0xBWjFiMjUx', 'name': 'La Estrella'}, 'state': {'id': 'TUNPUEFOVGFiZWI3', 'name': 'Antioquia'}, 'country': {'id': 'CO', 'name': 'Colombia'}, 'latitude': 6.1634129, 'longitude': -75.6446335}","{'contact': '', 'other_info': '', 'webpage': '', 'area_code': '', 'phone': '', 'area_code2': '', 'phone2': '', 'email': ''}",False,[],,MCO1459,False,False,,not_specified,[],,,1532622470,INMOBILIARIOGAITANRIVERASAS
